name,description,brand,gtin,barcode,price,sale_price,cost,category,supplier,image_url,availability,quantity,search_text
Shampoo 5ml,Shampoo 5ml,Unilever,,LS-000401,5.0,5.0,4.29,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,clear shampoo cool sport menthol 5ml unilever personal care
Shampoo 80ml,Shampoo 80ml,Unilever,,LS-000402,120.0,115.0,103.0,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,clear shampoo cool sport menthol 80ml unilever personal care
Toothpaste 145g,Toothpaste 145g,Unilever,,LS-000403,155.0,147.3,136.07,Personal Care,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/closeup-toothpaste-menthol-fresh-145-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166873&q=best&v=1&m=400&webp=1,in_stock,12,close up menthol fresh toothpaste 145g unilever personal care
Close Up Menthol Fresh Toothpaste 38g. Intense mint freshness.,Close Up Menthol Fresh Toothpaste 38g. Intense mint freshness.,Unilever,,LS-000404,50.0,47.5,44.25,Personal Care,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/closeup-toothpaste-menthol-fresh-145-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166873&q=best&v=1&m=400&webp=1,in_stock,12,close up menthol fresh toothpaste 38g unilever personal care
Close Up Menthol Fresh Toothpaste 7g. Pocket size freshness.,Close Up Menthol Fresh Toothpaste 7g. Pocket size freshness.,Unilever,,LS-000405,3.0,3.0,2.46,Personal Care,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/closeup-toothpaste-menthol-fresh-145-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166873&q=best&v=1&m=400&webp=1,in_stock,12,close up menthol fresh toothpaste 7g unilever personal care
Toothpaste 85g,Toothpaste 85g,Unilever,,LS-000406,105.0,100.0,92.09,Personal Care,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/closeup-toothpaste-menthol-fresh-145-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D166873&q=best&v=1&m=400&webp=1,in_stock,6,close up menthol fresh toothpaste 85g unilever personal care
Close Up Toothpaste with Sea Salt 140g. Fresh breath and strong teeth.,Close Up Toothpaste with Sea Salt 140g. Fresh breath and strong teeth.,Unilever,,LS-000407,170.0,165.0,149.25,Personal Care,Unilever - Atlantic Distribition,,in_stock,6,close up toothpaste sea salt 140g unilever personal care
Dishwashing Liquid 500ml,Dishwashing Liquid 500ml,Unilever,,LS-000408,130.0,125.0,113.0,Cleaning Supply,Unilever - Atlantic Distribition,,in_stock,36,domex 500ml unilever cleaning supply
Dishwashing Liquid 750ml,Dishwashing Liquid 750ml,Unilever,,LS-000409,175.0,165.0,149.84,Cleaning Supply,Unilever - Atlantic Distribition,,in_stock,24,domex 750ml unilever cleaning supply
Conditioner 170ml,Conditioner 170ml,Unilever,,LS-000410,290.0,275.0,232.0,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,dove conditioner hairfall rescue 170ml unilever personal care
free Item,free Item,Unilever,,LS-000411,24.0,24.0,1.0,Personal Care,Unilever - Atlantic Distribition,,in_stock,12,dove conditioner intensive repair 50ml unilever personal care
Conditioner 7ml,Conditioner 7ml,Unilever,,LS-000412,5.0,5.0,4.29,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,dove conditioner intensive repair 7ml unilever personal care
Soap 135g,Soap 135g,Unilever,,LS-000413,160.0,150.0,129.98,Personal Care,Unilever - Atlantic Distribition,,in_stock,54,dove cream bar 135g unilever personal care
Soap 25g,Soap 25g,Unilever,,LS-000414,70.0,66.5,57.0,Personal Care,Unilever - Atlantic Distribition,,in_stock,54,dove cream bar 50g unilever personal care
Soap 90g,Soap 90g,Unilever,,LS-000415,120.0,110.0,99.01,Personal Care,Unilever - Atlantic Distribition,,in_stock,54,dove cream bar 90g unilever personal care
Soap 135g,Soap 135g,Unilever,,LS-000416,160.0,150.0,129.98,Personal Care,Unilever - Atlantic Distribition,,in_stock,54,dove cream pink bar 135g unilever personal care
Soap 25g,Soap 25g,Unilever,,LS-000417,120.0,110.0,99.01,Personal Care,Unilever - Atlantic Distribition,,in_stock,54,dove cream pink bar 90g unilever personal care
Shampoo 170ml,Shampoo 170ml,Unilever,,LS-000418,200.0,195.0,171.2,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,dove shampoo hairfall rescue 170ml unilever personal care
Shampoo 6ml,Shampoo 6ml,Unilever,,LS-000419,4.0,4.0,3.43,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,dove shampoo hairfall rescue 6ml unilever personal care
Shampoo 170ml,Shampoo 170ml,Unilever,,LS-000420,200.0,195.0,171.2,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,dove shampoo intensive repair 170ml unilever personal care
Shampoo 330ml,Shampoo 330ml,Unilever,,LS-000421,440.0,430.0,376.33,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,dove shampoo intensive repair 330ml unilever personal care
Shampoo 330ml,Shampoo 330ml,Unilever,,LS-000422,440.0,420.0,376.33,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,dove shampoo intensive repair 330ml unilever personal care
Shampoo 6ml,Shampoo 6ml,Unilever,,LS-000423,4.0,4.0,3.43,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,dove shampoo intensive repair 6ml unilever personal care
Oil 170ml,Oil 170ml,Unilever,,LS-000424,200.0,195.0,171.2,Personal Care,Unilever - Atlantic Distribition,,in_stock,2,dove shampoo nourishing oil 170ml unilever personal care
Shampoo 330ml,Shampoo 330ml,Unilever,,LS-000425,440.0,430.0,376.33,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,dove shampoo oxygen moisture 330ml unilever personal care
