name,description,brand,gtin,barcode,price,sale_price,cost,category,supplier,image_url,availability,quantity,search_text
Chocbar,Chocbar,Lucky Store,,LS-000101,35.0,35.0,29.81,Ice Cream,,,in_stock,52,chocbar lucky store ice cream
Chocolate (1/2 L),Chocolate (1/2 L),Lucky Store,,LS-000102,160.0,160.0,137.0,Ice Cream,,,in_stock,2,chocolate (1/2 l) lucky store ice cream
Chocolate 1L,Chocolate 1L,Lucky Store,,LS-000103,300.0,300.0,258.0,Ice Cream,,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b69e605f3fd35f16dae_Nestle-Koko-Krunch-Chocolate-Flavour-30030gm_1_415.webp,in_stock,3,chocolate 1l lucky store ice cream
Chocolate Cone,Chocolate Cone,Lucky Store,,LS-000104,60.0,60.0,51.0,Ice Cream,,,in_stock,16,chocolate cone lucky store ice cream
Chupa Chups Best of Lollipops (6Pcs Bundle) - 72g,Chupa Chups Best of Lollipops (6Pcs Bundle) - 72g,Lucky Store,,LS-000105,30.0,30.0,20.0,Chocolates & Candies,,,in_stock,30,chupa chups best of lollipops (6pcs bundle) - 72g lucky store chocolates & candies
Coffee Bite Jar,Coffee Bite Jar,Lucky Store,,LS-000106,300.0,300.0,225.0,Tea & Coffee,,,in_stock,1,coffee bite jar lucky store tea & coffee
Crunchybar,Crunchybar,Lucky Store,,LS-000107,50.0,50.0,42.36,Ice Cream,,,in_stock,22,crunchybar lucky store ice cream
11gm,11gm,Lucky Store,,LS-000108,45.0,45.0,38.0,Chocolates & Candies,,,in_stock,40,dairy milk 10rs lucky store chocolates & candies
18gm,18gm,Lucky Store,,LS-000109,75.0,75.0,65.0,Chocolates & Candies,,,in_stock,24,dairy milk 18gm lucky store chocolates & candies
40gm,40gm,Lucky Store,,LS-000110,150.0,150.0,108.33,Chocolates & Candies,,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa969dd61902ef2307b43b_Cadbury-Dairy-Milk-Chocolate-523gm_1_415.webp,in_stock,5,dairy milk 40gm lucky store chocolates & candies
46gm,46gm,Lucky Store,,LS-000111,230.0,230.0,196.0,Chocolates & Candies,,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6875ffe38e2959ae3f7b1244_Cadbury-Dairy-Milk-Silk-Bubbly-120gm_1_415.webp,in_stock,3,dairy milk bubbly 46gm lucky store chocolates & candies
19gm,19gm,Lucky Store,,LS-000112,80.0,80.0,52.5,Chocolates & Candies,,,in_stock,40,dairy milk crispello 19gm lucky store chocolates & candies
21gm,21gm,Lucky Store,,LS-000113,85.0,85.0,43.8,Chocolates & Candies,,,in_stock,40,dairy milk fuse 21gm lucky store chocolates & candies
58gm,58gm,Lucky Store,,LS-000114,230.0,230.0,196.0,Chocolates & Candies,,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6875ffea8e2959ae3f7b1382_Cadbury-Dairy-Milk-Silk-Oreo-Chocolate-130gm_1_415.webp,in_stock,3,dairy milk oreo 58gm lucky store chocolates & candies
52gm,52gm,Lucky Store,,LS-000115,80.0,80.0,66.0,Tea & Coffee,,,in_stock,3,dairy milk perk lucky store tea & coffee
55gm,55gm,Lucky Store,,LS-000116,240.0,240.0,205.0,Chocolates & Candies,,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/665c4b17702c2befa88fb91c_Cadbury-Dairy-Milk-Silk-Chocolate-605gm_5_415.webp,in_stock,3,dairy milk silk 55gm lucky store chocolates & candies
55gm,55gm,Lucky Store,,LS-000117,240.0,240.0,205.0,Chocolates & Candies,,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6875ffce4b1c67639bdc5beb_Cadbury-Dairy-Milk-Silk-Fruit-Nut-1458gm_1_415.webp,in_stock,3,dairy milk silk fruit & nut 55gm lucky store chocolates & candies
