name,description,brand,gtin,barcode,price,sale_price,cost,category,supplier,image_url,availability,quantity,search_text
Shampoo 375ml,Shampoo 375ml,Unilever,,LS-000501,420.0,410.0,364.27,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,sunsilk shampoo onion 375ml unilever personal care
Shampoo 170ml,Shampoo 170ml,Unilever,,LS-000502,180.0,175.0,158.14,Personal Care,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/sunsilk-shampoo-lusciously-thick-long-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135843&q=best&v=1&m=400&m=400&webp=1,in_stock,36,sunsilk shampoo thick & long 170ml unilever personal care
Shampoo 340ml,Shampoo 340ml,Unilever,,LS-000503,350.0,345.0,307.13,Personal Care,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/sunsilk-shampoo-lusciously-thick-long-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135843&q=best&v=1&m=400&m=400&webp=1,in_stock,36,sunsilk shampoo thick & long 340ml unilever personal care
Sunsilk Shampoo Thick & Long 5.25ml. For thicker,Sunsilk Shampoo Thick & Long 5.25ml. For thicker,Unilever,,LS-000504,3.0,3.0,2.58,Personal Care,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/sunsilk-shampoo-lusciously-thick-long-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135843&q=best&v=1&m=400&m=400&webp=1,in_stock,36,sunsilk shampoo thick & long 5.25 unilever personal care
Shampoo 375ml,Shampoo 375ml,Unilever,,LS-000505,420.0,415.0,364.24,Personal Care,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/sunsilk-shampoo-volume-375-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130944&q=best&v=1&m=400&webp=1,in_stock,36,sunsilk shampoo volume 375ml unilever personal care
Laundry Powder 1000g,Laundry Powder 1000g,Unilever,,LS-000506,233.0,221.4,211.0,Cleaning Supply,Unilever - Atlantic Distribition,,in_stock,24,surf excel 1000g unilever cleaning supply
Laundry Powder 180g,Laundry Powder 180g,Unilever,,LS-000507,50.0,49.0,45.0,Cleaning Supply,Unilever - Atlantic Distribition,,in_stock,24,surf excel 180g unilever cleaning supply
Laundry Powder 500g,Laundry Powder 500g,Unilever,,LS-000508,120.0,114.0,108.11,Cleaning Supply,Unilever - Atlantic Distribition,,in_stock,12,surf excel 500g unilever cleaning supply
Laundry Soap 18g,Laundry Soap 18g,Unilever,,LS-000509,5.0,5.0,4.5,Cleaning Supply,Unilever - Atlantic Distribition,,in_stock,36,surf excel fabric solution quick wash 18g unilever cleaning supply
Surf Excel Matic Liquid Top 500ml. For automatic washing machines.,Surf Excel Matic Liquid Top 500ml. For automatic washing machines.,Unilever,,LS-000510,210.0,200.0,175.0,Cleaning Supply,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/surf-excel-matic-liquid-detergent-top-load-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168972&q=best&v=1&m=400&m=400&webp=1,in_stock,12,surf excel matic liquid top 500ml unilever cleaning supply
Conditioner 190ml,Conditioner 190ml,Unilever,,LS-000511,320.0,310.0,256.0,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,tresemme keratin 190ml unilever personal care
Shampoo 580ml,Shampoo 580ml,Unilever,,LS-000512,700.0,680.0,602.5,Personal Care,Unilever - Atlantic Distribition,,in_stock,36,tresemme shampoo color revitalized 580ml unilever personal care
Shampoo 185ml,Shampoo 185ml,Unilever,,LS-000513,350.0,340.0,298.58,Personal Care,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/tresemme-shampoo-keratin-smooth-340-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136581&q=best&v=1&m=400&webp=1,in_stock,36,tresemme shampoo keratin smooth 185ml unilever personal care
Shampoo 340ml,Shampoo 340ml,Unilever,,LS-000514,550.0,530.0,458.1,Personal Care,Unilever - Atlantic Distribition,https://chaldn.com/_mpimage/tresemme-shampoo-keratin-smooth-340-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136581&q=best&v=1&m=400&webp=1,in_stock,36,tresemme shampoo keratin smooth 340ml unilever personal care
Dishwashing Bar 125g,Dishwashing Bar 125g,Unilever,,LS-000515,15.0,15.0,13.5,Cleaning Supply,Unilever - Atlantic Distribition,,in_stock,90,vim dish washing bar 125g unilever cleaning supply
Dishwashing Bar 300g,Dishwashing Bar 300g,Unilever,,LS-000516,40.0,40.0,35.95,Cleaning Supply,Unilever - Atlantic Distribition,,in_stock,72,vim dish washing bar 300g unilever cleaning supply
